attack_type,malicious_ratio,envId,envName,formationType,formationName,method,TN,FP,FN,TP,accuracy,precision,recall,f1,fp_rate,fn_rate
random,0.4,0,Perfect-NoNoise,2,Circular,Static Phase 1,17872,9488,2710,15530,0.7325,0.620753057798385,0.851425438596491,0.718017476536132,0.346783625730994,0.148574561403509
random,0.4,0,Perfect-NoNoise,2,Circular,Static Phase 1+2,11709,15651,1213,17027,0.630175438596491,0.521053920068548,0.933497807017544,0.668800816999882,0.57203947368421,0.0665021929824561
random,0.4,0,Perfect-NoNoise,2,Circular,SAC Dynamic Phase 1,16586,10774,892,17348,0.744166666666667,0.616883578692838,0.95109649122807,0.748371511151374,0.393786549707602,0.0489035087719298
random,0.4,0,Perfect-NoNoise,2,Circular,SAC Dynamic Phase 1+2,14243,13117,463,17777,0.70219298245614,0.575419175244384,0.974616228070175,0.723612976757439,0.479422514619883,0.0253837719298246
random,0.4,1,Open,0,Horizontal,Static Phase 1,13538,13822,2949,15291,0.632214912280702,0.525229279016247,0.838322368421053,0.645830253627014,0.505190058479532,0.161677631578947
random,0.4,1,Open,0,Horizontal,Static Phase 1+2,5337,22023,962,17278,0.49594298245614,0.439632579323681,0.947258771929825,0.600545697850228,0.804934210526316,0.0527412280701754
random,0.4,1,Open,0,Horizontal,SAC Dynamic Phase 1,14459,12901,3381,14859,0.642938596491228,0.535266570605187,0.814638157894737,0.64604347826087,0.471527777777778,0.185361842105263
random,0.4,1,Open,0,Horizontal,SAC Dynamic Phase 1+2,5445,21915,999,17241,0.4975,0.440315660435182,0.945230263157895,0.600773573071294,0.800986842105263,0.0547697368421053
random,0.4,1,Open,1,Random-Matrix,Static Phase 1,16898,10462,2528,15712,0.715131578947368,0.600290364483839,0.86140350877193,0.707524654388256,0.382383040935672,0.13859649122807
random,0.4,1,Open,1,Random-Matrix,Static Phase 1+2,5252,22108,985,17255,0.493574561403509,0.438355816375784,0.945997807017544,0.599100741280836,0.808040935672515,0.0540021929824561
random,0.4,1,Open,1,Random-Matrix,SAC Dynamic Phase 1,14483,12877,1718,16522,0.679934210526316,0.561991904486547,0.905811403508772,0.693633367618968,0.470650584795322,0.0941885964912281
random,0.4,1,Open,1,Random-Matrix,SAC Dynamic Phase 1+2,4867,22493,736,17504,0.490592105263158,0.437632822461685,0.959649122807018,0.601129865892817,0.822112573099415,0.0403508771929825
